po_number,supplier,currency,amount,due_date,issue_date,category,status,description
PO-2026-0142,Siemens AG,EUR,485000,2026-06-15,2026-04-20,Equipment,open,Industrial automation components — Q2 batch
PO-2026-0143,Bosch GmbH,EUR,275000,2026-06-30,2026-04-25,Equipment,open,Sensor modules and actuators
PO-2026-0144,Toyota Tsusho,JPY,68000000,2026-07-15,2026-04-28,Raw Materials,open,Steel and aluminium stock Q2
PO-2026-0145,Foxconn Technology,USD,1850000,2026-07-31,2026-05-01,Equipment,approved,Manufacturing line upgrade — phase 2
PO-2026-0146,SAP SE,EUR,685000,2026-06-30,2026-04-15,Software,approved,SAP S/4HANA enterprise licence Q2
PO-2026-0147,Honda Motor Co,JPY,42000000,2026-08-30,2026-05-10,Equipment,open,Industrial robotics — Tokyo facility
PO-2026-0148,BASF SE,EUR,165000,2026-07-30,2026-05-12,Raw Materials,open,Speciality chemicals supply Q3 first tranche
PO-2026-0149,Hitachi Ltd,JPY,38000000,2026-09-15,2026-05-15,Equipment,open,Power systems for Tokyo data centre
PO-2026-0150,Komatsu Ltd,JPY,52000000,2026-09-30,2026-05-20,Equipment,open,Heavy machinery — Mexico facility expansion
PO-2026-0151,Mitsubishi Electric,JPY,29000000,2026-10-15,2026-05-25,Equipment,pending,HVAC systems — Frankfurt office expansion
PO-2026-0152,LG Chem,KRW,420000000,2026-10-30,2026-06-01,Raw Materials,pending,Lithium battery components
PO-2026-0153,Bombardier Inc,CAD,2400000,2026-11-15,2026-06-15,Equipment,pending,Transportation equipment — Toronto facility
PO-2026-0154,Acer Inc,USD,485000,2026-08-31,2026-06-20,Equipment,open,Workstation refresh — global rollout phase 1
PO-2026-0155,Dell Technologies,USD,920000,2026-09-30,2026-07-01,Equipment,open,Server hardware — DR site build-out
PO-2026-0156,Daikin Industries,JPY,32000000,2026-11-30,2026-07-15,Equipment,pending,Industrial cooling — Mexico City facility
PO-2026-0157,Schneider Electric,EUR,385000,2026-12-15,2026-08-01,Equipment,pending,Power management infrastructure
