currency_pair,budget_rate,fiscal_year,period,notional_budget,description
EUR/USD,1.0850,2026,Q2,12750000,European sales receipts Q2
EUR/USD,1.0900,2026,Q3,13500000,European sales receipts Q3
EUR/USD,1.0950,2026,Q4,14200000,European sales receipts Q4
EUR/USD,1.1000,2027,Q1,14800000,European sales receipts Q1
GBP/USD,1.2750,2026,Q2,5500000,UK sales receipts Q2
GBP/USD,1.2800,2026,Q3,5800000,UK sales receipts Q3
GBP/USD,1.2850,2026,Q4,6100000,UK sales receipts Q4
GBP/USD,1.2900,2027,Q1,6300000,UK sales receipts Q1
JPY/USD,0.00680,2026,Q2,1280000000,Japan sales receipts Q2
JPY/USD,0.00685,2026,Q3,1350000000,Japan sales receipts Q3
JPY/USD,0.00690,2026,Q4,1450000000,Japan sales receipts Q4
JPY/USD,0.00695,2027,Q1,1500000000,Japan sales receipts Q1
CAD/USD,0.7350,2026,Q2,2750000,Canadian sales receipts Q2
CAD/USD,0.7400,2026,Q3,2900000,Canadian sales receipts Q3
CAD/USD,0.7400,2026,Q4,3050000,Canadian sales receipts Q4
MXN/USD,0.0588,2026,Q2,52000000,Mexico sales receipts Q2
MXN/USD,0.0590,2026,Q3,55000000,Mexico sales receipts Q3
MXN/USD,0.0588,2026,Q4,58000000,Mexico sales receipts Q4
